ticker,provider,index
LT.NS,Yahoo,^NSEI
HEROMOTOCO.NS,Yahoo,^NSEI
HINDALCO.NS,Yahoo,^NSEI
ONGC.NS,Yahoo,^NSEI
COALINDIA.NS,Yahoo,^NSEI
BAJAJ-AUTO.NS,Yahoo,^NSEI
NTPC.NS,Yahoo,^NSEI
BRITANNIA.NS,Yahoo,^NSEI
INDUSINDBK.NS,Yahoo,^NSEI
BHARTIARTL.NS,Yahoo,^NSEI
KOTAKBANK.NS,Yahoo,^NSEI
MARUTI.NS,Yahoo,^NSEI
RELIANCE.NS,Yahoo,^NSEI
TCS.NS,Yahoo,^NSEI
ITC.NS,Yahoo,^NSEI
TATACONSUM.NS,Yahoo,^NSEI
WIPRO.NS,Yahoo,^NSEI
HDFCLIFE.NS,Yahoo,^NSEI
LTIM.NS,Yahoo,^NSEI
CIPLA.NS,Yahoo,^NSEI
ADANIENT.NS,Yahoo,^NSEI
APOLLOHOSP.NS,Yahoo,^NSEI
ULTRACEMCO.NS,Yahoo,^NSEI
BAJFINANCE.NS,Yahoo,^NSEI
BAJAJFINSV.NS,Yahoo,^NSEI
NESTLEIND.NS,Yahoo,^NSEI
TITAN.NS,Yahoo,^NSEI
TATASTEEL.NS,Yahoo,^NSEI
MM.NS,Yahoo,^NSEI
SHRIRAMFIN.NS,Yahoo,^NSEI
